212 / 215 done,Term,Context/Tag/Category,Definition,Original definition,Source,2,Term,Context/Tag/Category,Definition,Source,,Overlap,#VALUE!,,,,,,,,,,,,,,
RMB,Asset Management Process,Management,"A systematic approach to acquiring, operating, maintaining, and disposing of assets within an organisation, aimed at maximising their value and minimising risks.","A systematic approach to acquiring, operating, maintaining, and disposing of assets within an organisation, aimed at maximising their value and minimising risks.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Authentication,Security Management,"The technical mechanism by which a computer user proves that they are who they say they are. Authentication is often shorthanded as “AuthN” to distinguish it from authorisation.
Example: The combination of a username and a password is a method of authentication.
See also: [AAI]; [Access Control]; [Authorisation].","Authentication is finding out who a user is and ensuring that they are who they say (i.e. they are authentic) via some acceptable proof. This goes hand in hand with Access Control (or “Authorisation”) and the two are both sometimes shorthanded (separately or together) as “Auth”. If there’s any doubt in the context of what “Auth” is referring to, it should be clarified!",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Authentication Application,Security Management,"A software system that verifies and validates the identities of users or entities accessing a system through authentication.
See also: [Authentication].",A software system that verifies and validates the identities of users or entities accessing a system through multifactor authentication.,DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Authentication Token,Security Management,"A piece of data used to authenticate the identity of a user or application to a computer system. Authentication tokens are often generated by authentication applications, and possession of a given token is evidence that the owner has successfully authenticated themselves to the system in question.
See also: [Authentication]; [Authentication Application].","An authentication token is a piece of data that is used to authenticate the identity of a user or application. It is typically a string of characters or a digital certificate that is generated by an authentication server, and is then passed between the user or application and the server to verify their identity. Authentication tokens are commonly used in web applications, APIs, and other systems that require secure access control. When a user logs in to a system, the authentication server generates a token that is associated with the user's account and privileges. This token is then passed back to the user's browser or application, and is used to authenticate subsequent requests to the system. Authentication tokens can be generated using a variety of methods, such as cryptographic keys, digital certificates, or session IDs. They can also be time-limited or have other restrictions to enhance security and prevent unauthorised access. The use of authentication tokens helps to ensure that only authorised users or applications can access sensitive information or resources, and can provide an additional layer of security beyond traditional username/password authentication.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Automated Disclosure Control,Computing,"Disclosure control (qv) without the intervention of a human being each time. Automated disclosure control aims to capture the necessary rules for ensuring a given dataset cannot be used to identify any individual in an automated software system.
See also: [Disclosure Control].","Disclosure control without the intervention of a human being each time. Configuring a software system to reliably detect that data it is provided with is “non-disclosive” (i.e. doesn’t disclose any information that is not allowed to be shared with the requesting person, or leave the environment where the data is held), such that a human doesn’t need to look at the data to determine its (non-)disclosive nature.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Best Practice,Processes,"A set of guidelines that, if followed, is known to produce good outcomes. Best practice may be based on different levels of research evidence and/or collective experience.",Best practice is a standard or set of guidelines that is known to produce good outcomes if followed. They may be based on different levels of research evidence and/ or collective experience.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Big Data,Data in general,"Large amounts of information that, because of its scale, may need novel or non-standard methods to process. In the original coining, ""big"" referred to one or more of volume (the raw size of the data), velocity (the rate at which new data were generated) or variety (the complexity or richness of the data).","Big Data means working with large amounts of information. The definition of ""big"" depends on the context. It can refer to data from a huge number of people, like health records from millions of individuals. It can also refer to data that requires a lot of storage space, such as DNA sequences, MRI scan images, or activity data from mobile phones. The term ""big data"" became popular in the early 2000s and has been associated with over 25,000 publications in the life sciences as of March 2023.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Caldicott Guardian,Special aspects in the NHS Context,"A senior professional in the NHS who safeguards patient confidentiality and privacy. They are responsible for protecting patient information, including how it is used in, for example, research. Named after Dame Fiona Caldicott, the first UK National Data Guardian. ","In the NHS, the Caldicott Guardian is a senior professional who safeguards patient confidentiality and privacy. They are responsible for protecting patient information within NHS organisations, including how it is used, following the guidelines led by Dame Fiona Caldicott, the first National Data Guardian. Both the Caldicott Guardian and the National Data Guardian protect patient information. The National Data Guardian oversees data use across the entire UK health sector to ensure proper use of patient info. The Caldicott Guardian focuses on data protection within individual healthcare groups.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Census,Data in general,"A survey of a national population which asks questions about age, gender, background and so on. In the UK, censuses are carried out every 10 years or so. Census information helps with things like local service planning and making important decisions. Census data can be used in academic research. If so, it is anonymised before being used.
See also: [Anonymisation].","A large survey that happens every 10 years in the UK. It asks people about things like their age, gender, and background. This information, collected from all over the country, helps with things like local service planning and making important decisions. The data is made anonymous before being used to understand the population better.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Certification Management,Processes,"The process of managing and overseeing certifications or qualifications held by individuals or entities, including tracking expiry dates, renewals, and compliance requirements.
Not to be confused with: [Certificate Management].","The process of managing and overseeing certifications or qualifications held by individuals or entities, including tracking expiry dates, renewals, and compliance requirements.",DARE,,,,Needs new term? 'Certification Management' sounds different from what it is.,,,,,,,,,,,,,,,,,,
RMB,Characteristic,Data in general,"A piece of information about an individual, place or thing that is potentially useful in data analysis. For example, characteristics of a person might be age, gender, ethnicity, socioeconomic status and education level. If data about individuals were recorded in a table, the columns of the table might be characteristics.",,,,,,,,,,,,,,,,,,,,,,,,
KO'S,Chief Investigator (CI),Running and overseeing research,"The researcher with overall responsibility for a research project, including ethical approval, research staff management and conduct and project outcomes. Also known as a Principal Investigator.
","The investigator (researcher) with overall responsibility for a research study, and the person who seeks ethical approvals.",DM,,,,Chief Investigator [See also: Principal Investigator],,,,,,,,,,,,,,,,,,
ANO,Clinical Research Network (CRN),Health Research,Scope?,"A network that helps coordinate and support research studies in the National Health Service. The CRN’s primary goal is to enhance the quality and quantity of clinical research conducted across the NHS by providing the infrastructure, expertise, and resources needed to carry out research studies effectively. The CRN helps doctors and scientists work together on research projects. They find patients who want to be part of these projects and make sure the research is done correctly.

By gathering this information, they can learn more about how different treatments and medicines work. They can find out what works best for patients and help doctors make better decisions about how to treat people. This teamwork and data collection also lead to new ideas for treatments and medicines in the future.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Clinical Trial,Health Research,"A research study conducted to test a new treatment, like a medicine or other therapy. When it comes to testing medicines, clinical trials are known as Clinical Trials of Investigational Medicinal Products (CTIMPs), and they have additional special rules and regulations that need to be followed. These rules ensure the safety and effectiveness of the new treatment being tested before it can be made available to the general public and the safety of the people participating in the trials.","A trial refers to a research study conducted to test a new treatment, like a medicine or talking therapy. When it comes to testing medicines, clinical trials are known as Clinical Trials of Investigational Medicinal Products (CTIMPs), and they have additional special rules and regulations that need to be followed. These rules ensure the safety and effectiveness of the new treatment being tested before it can be made available to the general public and the safety of the people participating in the trials.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Clinical trial data,Health Research,Redundant?,Information collected during research studies that evaluate the safety and effectiveness of medical treatments or interventions.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Clinical/ Medical/ Health Data or Healthcare data,Health Services & Health Data,"A person's information about their health or day-to-day health care. This information is collected as people see healthcare professionals, or have tests and treatments as part of their care. It is stored in electronic health records (EHRs) used by the NHS. ","A person's information about their health or dat to day health care.

Healthcare data is the information collected about a person's health and medical care. This information is collected as people see healthcare professionals, have tests and treatments as part of their care. It is stored in electronic health records (EHRs) used by the NHS. There are different types of healthcare data:

1. Simple Data: This data is organised in a table format and includes basic information like the patient's name, date of birth, gender, NHS number, and contact details. It also includes details about the patient's health, such as the reason for their visit, any illnesses or conditions they have, and the treatments or care they received. This data is entered by healthcare professionals or automatically generated, like appointment dates, diagnosis codes, test results, and prescribed medications. Patients may also provide additional information through questionnaires or surveys.

2. Free-Text Data: This refers to unstructured text information, like notes or letters, that healthcare professionals write or patients provide. It doesn't follow a specific format and may contain detailed descriptions or additional information about the patient's health.

3. Images: Healthcare data can also include images, such as X-rays, CT scans, or MRI scans. These images help healthcare professionals see and analyse specific body parts to aid in diagnosis and treatment planning.

4. Complex Data: This includes more advanced types of data, like genetic information obtained from gene sequences in DNA. Currently, genetic sequencing is not widely used in the NHS, but it may become more common in the future. This type of data can provide insights into a person's genetic makeup and potential health risks as well as form the basis of personalised treatments


All of this healthcare data is important for healthcare professionals to understand a patient's health history, make accurate diagnoses, and provide appropriate care and treatment.

Researchers often use this data after it has been anonymised, to answer questions to improve people’s care.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Clinician,Health Services & Health Data,Discipline-specific - remove,"A member of staff in a health care service (such as a nurse, doctor, or psychologist) who delivers care to patients/service users.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Cloud computing,Computing,"A model of computer access or provision where users rent computer power remotely, rather than buying and installing their own hardware locally. Cloud computing may be described as ""public cloud"", meaning available to anyone from a wide number of cloud computing companies, or as ""private cloud"" or ""on-premises"" (or ""on-prem"") cloud, meaning installed and provided privately by, for example, a firm for its own uses. 
Examples: Microsoft Azure, Amazon Web Services (AWS) and Google Cloud Platform (GCP) are large, public cloud providers.","Cloud computing means another company handles things like computers, storage, software, and more, over the internet. Big names like Amazon, Google, and Microsoft do this. They store your data and let you analyse it using their powerful machines (lots of computer processors and memory). 

The provider typically looks after things like physical security (preventing break-ins), electronic security (only permitting access by authorised users and preventing hacking over the network), and ‘resilience ‘(e.g. keeping regular backups, having devices for when one breaks, having batteries or generators for power cuts, and maybe having other data centres in case of disasters). Many cloud providers allow the customer to choose the physical location of the data centre (e.g. Cardiff versus California), which may be important for compliance with relevant data protection laws. Cloud computing is distinguished from computing “on premises”, i.e. physical computers that an organisation (such as an NHS Trust) owns and looks after itself.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Cloud storage,Computing,"Computer data storage hosted by a cloud computing firm rather than provided locally. Access to cloud storage requires an Internet connection, in contrast to local storage which is either attached to a user's computer or needs only a local network connection.
Examples: Apple's iCloud storage, Google's Drive or Microsoft OneDrive are examples of cloud storage.","Cloud storage is like a virtual locker on the internet where you can keep your files, photos, and documents. Instead of storing everything on your device, you upload them to this online space. Think of streaming a movie online instead of downloading it, sharing photos on social media, storing files in Google Drive or iCloud, sending emails through services like Gmail, and collaborating on documents in real time. All these activities involve using cloud storage, where you access and manage content over the internet, without needing to keep everything on your device.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Code Control,Computing,"The management and oversight of software code or source files, including versioning, change tracking, access control , and collaboration.","The management and oversight of software code or source files, including versioning, change tracking, access control , and collaboration.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Code Lists,Data in general,"A collection of specific, standard codes that are used in healthcare to represent different things, such as medical diagnoses, treatments, or procedures.","A collection of specific codes that are used in healthcare to represent different things, such as medical diagnoses, treatments, or procedures. These codes are standardised and help healthcare professionals classify and identify specific information in a consistent and uniform manner. Code lists make it easier to communicate and exchange information accurately within the healthcare field.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Command Line Interface (CLI),Computing,"A text-based interface or environment that allows users to interact with a computer or software by typing commands or instructions, in contrast to a graphical user interface.
See also: [Graphical User Interface (GUI)].",A text-based interface or environment that allows users to interact with a computer or software by entering commands or instructions using a command line interpreter.,DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Common Workflow Language (CWL),Computing,"An open standard for describing how to run software tools using command line interfaces, and how to chain them together to create workflows.
See also: [Command Line Interface (CLI)]; [Workflow].",Common Workflow Language is an open standard for describing how to run command line tools and connect them to create workflows. It is supported by WfExS. CWL workflow and tool descriptions are defined in YAML files.,DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Compliance Checking,Security Management,"[Related to Compliance, https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-C_42.xml]","The act of verifying and ensuring adherence to applicable laws, regulations, standards, or internal policies within the TRE organisation.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,Confidential Advisory Group (CAG),Special aspects in the NHS Context,Discipline-specific - remove?,The Confidential Advisory Group (CAG) is a multi-disciplinary group within the NHS Health Research Authority. It plays a role in England and Wales when researchers want access to confidential patient information that's not fully anonymised and consent isn't possible. When this happens approval from the CAG is required. The group advises and operates on behalf of the Secretary of State for Health and Social Care.,DM,,,,,,,,,,,,,,,,,,,,,,
,Consent,Processes,"Consent is defined as individual providing freely given, specific, informed and unambiguous indication of their wishes to provide their data for processing relating to him or her.
Consent within the context of data protection regulation is one of the grounds (lawful bases) for lawfully processing personal data in relation to an individual and is specific towards particlar activities.

Research consent is the process of documenting an individual's choice to be involved in a research project(s) and typically called informed consent - this conveys that there is a process to allow participants to make a meaningful choiceInformed consent"" is used to emphasise that understanding is crucial before agreeing, and typically applies when sharing personal data or participating in research studies. Research consent is commonly required for participation in clinical trials/research.

Broad consent is a mechanism of gaining the consent of an individual who donates their biosamples and health data with a view to their future use in research, and may not be specific to a particular research project at the time of collection.

Assent is the process of providing approval for data processing/involvement in research by an individual who is not legally eligible to do so (e.g. a child under the age of 16), and will be supported by an adult providing legal consent.

Unconsented research - although this is not necessarily a definition, it is a process by which other individuals (researchers or others) may obtain access to data for analytical purposes. This can be achieved through by different mechanisms: anonymisation/pseudonymisation (the removal of all patient identifiers) thereby rendering the dataset inidentifiable; alternatively by obtaining the specific approval by the Confidentiality Advisory Group, who approve the processing of healthcare data without explicit consent by individual(s) as an exemption to section 251 of the NHS Act 2006.

Withdrawal of consent is both a legal, and ethical right of the individual whose data is being processed, and must be respected in reference to data protection and research compliance. It allows an infividual to discontinue/rescind access to his/her data and prevent further processing.","Understanding how consent (or the lack of it) works for sharing healthcare data in the UK is essential. There are different rules depending on how easy it is to figure out who the data is about and where you are. In the UK, there's a rule that currently says you don't need to give informed consent if the data collected regularly is made fully anonymous. This means that your personal details are taken out, and no one can link the data back to you. However, it's a good question to ask whether all the data labeled as ""anonymous"" is truly untraceable. But, when it's about sharing personal healthcare data that can still identify you, it gets more complicated. The level of how easy it is to tell who you are and where you're located matters. Some places might want your agreement before they share your data, while others might not. It's important to note that the ""National Data Opt-Out"" is available in England. It lets you decide whether your data can be shared, even if you said yes before. This opt-out is like a way to say ""no"" to certain kinds of sharing. Remember, even though consent might not be explicitly requested in every situation, the choice not to ask for it is part of the current system.

Informed Consent and Choices:
Consent and informed consent are both about agreeing to something after understanding it fully. Regular ""consent"" involves knowing all the details and agreeing, just like when you give permission for the use of personal data in research after understanding the risks and benefits. ""Informed consent"" is a term we use when we want to emphasise that understanding is crucial before agreeing. In most cases, whether it's sharing personal data or participating in studies, consent should always be informed.

It's important to know that consent can change over time. People can decide to stop participating in research whenever they want, and this will not affect their healthcare treatment. This highlights how vital it is for researchers to keep talking with participants openly. This way, participants can freely decide what's best for them and feel like their choices matter.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Controlled Environment,Security Management,(necessary?),"This is considered a prepared environment (e.g. a VM ) for a given Project within a TRE, in which workflows will be executed against datasets. Typically in a TRE, approved users would log in to such an environment to perform their work. Available tools in the environment are controlled by the TRE admins. Any data entering or leaving the environment is checked and subject to approval. No communication with the public internet, or any network resources that aren’t expressly approved (e.g. enforced by Firewall rules).",DARE,,,,Lots of different definitions (e.g. is a TRE a 'controlled environment'); look at ISO27001 - Annex A.8 and Annex A.11 for what is there re: Controlled environments,,,,,,,,,,,,,,,,,,
RMB,Controls,Security Management,"In computer security management, measures, safeguards or mechanisms implemented to manage or mitigate risks and ensure the integrity, confidentiality, availability, and reliability of systems, processes, or data.","Measures, safeguards, or mechanisms implemented to manage or mitigate risks and ensure the integrity, confidentiality, availability, and reliability of systems, processes, or data.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Curriculum Creation and Management,Other,"The process of designing, developing, and managing educational curricula, courses through training needs analysis for required competency.","The process of designing, developing, and managing educational curricula, courses through training needs analysis for required competency.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Data,Data in general,"[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_3.xml]
[See also: https://terms.codata.org/rdmt/data]
[See also: https://www.nice.org.uk/Glossary?letter=D]","Data means information. It can be numbers, text, images, videos, sound recordings, or any other type of information that can be collected, stored and analysed by computers or humans. Data is a very broad term. In health research we usually mean information (data) about a person which is stored electronically (on-line).",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Data Archiving *,Data Management,"The practice of securely storing and preserving data in a read-only format for long-term retention, typically for compliance, historical reference, or reproducibility. 
[See also: https://vocabs.ardc.edu.au/repository/api/lda/codata/codata-research-data-management-terminology/v001/resource?uri=https%3A%2F%2Fterms.codata.org%2Frdmt%2Fresearch-data-management]","The practice of securely storing and preserving data in a read-only format for long-term retention, typically for compliance, historical reference, or reproducibility.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Asset Register *,Data Management,Too speciifc - remove?,"A database or record that documents and manages information about the TRE organisation's data assets, including their characteristics like governance, provenance, usage, and other relevant details. ",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Classification *,Data Management,"The categorisation or labelling of data based on its sensitivity, risk, value, or other attributes, often used to determine appropriate handling, storage, and security controls.","The categorisation or labelling of data based on its sensitivity, risk, value, or other attributes, often used to determine appropriate handling, storage, and security controls.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Data Classification Service *,Data Management,"Remove? ""Data classification"" is enough",A service that assists in classifying and labelling data based on predefined criteria or policies to determine sensitivity.,DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Data Classification Tool *,Data Management,"Remove? ""Data classification"" is enough","Software or tools designed to assist in the categorization, labelling, and classification of data based on predefined policies or criteria.",DARE,,,,,,,,,,,,,,,,,,,,,,
ANO,Data Consumers ,Data Management,Contentious?,See Researchers,DARE,,,,,,,,,,,,,,,,,,,,,,
MA,Data Controller,UK law and rules,"A data controller is a person or organisation who decides how personal data, which is information about identifiable individuals, is used or handled. Examples of data controllers include NHS organisations like Trusts and GP surgeries. In the UK, most organisations handling personal data must register with the ICO (Information Commissioner's Office), and their details are public. Data controllers are legally responsible for how data is managed. They must prevent misuse, report breaches, and can be fined for failing to meet these duties.

See also: data processor, Information Commissioner's Office (ICO) 
[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_16.xml]
[See also: https://www.adruk.org/learning-hub/glossary/]
[See also: https://www.nice.org.uk/Glossary?letter=D]","A data controller is a person or organisation who decides how personal data, which is information about identifiable individuals, is used or handled. Examples of data controllers include NHS organisations like Trusts and GP surgeries. On the other hand, a data processor is a person or organisation that processes personal data on behalf of the data controller. In the UK, all organisations that handle personal data, with very few exceptions, must be registered with the ICO (Information Commissioner's Office), and this registration information is publicly available. Data controllers have a legal responsibility and can be held accountable if there's a problem with how personal data is handled. This includes breaches or misuse of data. They must take measures to prevent issues, promptly report breaches to the relevant authorities, and can face fines if they don't meet their obligations.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Curation,Data in general,"[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_17.xml ]
[See also: https://terms.codata.org/rdmt/data-curation ]
[See also: https://www.nice.org.uk/Glossary?letter=D ]","This is like being a caretaker for data, similar to a museum curator. It is basically looking after data for other people to work with it.

This can involve putting data together, quality control (finding and removing errors or invalid data), describing it well so that other researchers can understand it (providing metadata or a catalogue), or mapping it to a standard “vocabulary” (e.g. if two databases record problems using different coding systems, can those be mapped to each other?).

The overall goal is to maintain and manage the data for easy use by others.",DM,,,,,,,,,,,,,,,,,,,,,,
MA,Data Custodian,Data Management,"The person, organisation or other entity responsible for the data. They should control access to the data and protect the use of it and sharing of it (or subsets of it) to ensure regulations appropriate to the type of data are followed . This includes ensuring no private data is disclosed when it shouldn’t be.","The person, organisation or other entity responsible for some data. They should control access to the data and protect the use of it and sharing of it (or subsets of it) to ensure regulations are followed appropriate to the type of data. This includes ensuring no private data is disclosed when (or to whom) it shouldn’t be.",DARE,,,,,,,,,,,,,,,,,,,,,,
MA,Data Deletion,Data Management,The process of permanently removing or erasing data from storage systems or devices to ensure that it cannot be recovered or accessed.,"The process of permanently removing or erasing data from storage systems or devices, ensuring that it cannot be recovered or accessed.",DARE,,,,,,,,,,,,,,,,,,,,,,
MA,Data Discovery,Processes,The process of identifying and accessing relevant data sources for research or analysis.,The process of identifying and accessing relevant data sources for research or analysis.,DM,,,,,,,,,,,,,,,,,,,,,,
MA,Data Egress,Data Management,The movement or transfer of data to infrastructure outside of a TRE either through manual or automated process. Often known as data outputs.,The movement or transfer of data to infrastructure outside of TRE either through manual or automated process. Often known as data outputs.,DARE,,,,,,,,,,,,,,,,,,,,,,
MA ,Data Governance,Processes,"Policies, procedures, and regulations that govern the collection, storage, access, and use of data to ensure privacy, security, and ethical considerations are addressed.","Policies, procedures, and regulations that govern the collection, storage, access, and use of data to ensure privacy, security, and ethical considerations are addressed.",DM,,,,,,,,,,,,,,,,,,,,,,
MA,Data Ingress,Data Management,The movement or transfer of data to infrastructure inside of a TRE either through manual or automated process. Often known as data inputs.,The movement or transfer of data to infrastructure inside of TRE either through manual or automated process. Often known as data inputs.,DARE,,,,,,,,,,,,,,,,,,,,,,
MA,Data Lifecycle Control *,Data Management,"The management and oversight of data throughout its lifecycle, including storage, usage, sharing, retention, and eventual disposal.","The management and oversight of data throughout its lifecycle, including storage, usage, sharing, retention, and eventual disposal.",DARE,,,,,,,,,,,,,,,,,,,,,,
MA,Data Literacy,Data in general,"The ability to understand, analyse, interpret, and critically evaluate data and data related studies.",,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Minimisation *,Data Management,[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_45.xml],"The practice of collecting, processing, and storing only the minimum amount of data necessary to fulfil a specific purpose or requirement to reduce privacy risks.",DARE,,,,,,,,,,,,,,,,,,,,,,
